,IB_Currency,IB_longName,IB_marketName,IB_isin,Origin_Name,Origin_Stock,Origin_Country,Origin_Currency
14933,HKD,TIL ENVIRO LTD,1790,KYG887391004,TIL ENVIRO LTD,1790,Hong Kong,HKD
14934,INR,TILAKNAGAR INDUSTRIES LTD,TI,INE133E01013,TILAKNAGAR INDUSTRIES LTD,TI,India,INR
14935,USD,TILE SHOP HLDGS INC,SCM,US88677Q1094,TILE SHOP HLDGS INC,TTSH,United States of America,USD
14936,USD,TILLY'S INC-CLASS A SHRS,TLYS,US8868851028,TILLY'S INC-CLASS A SHRS,TLYS,United States of America,USD
14937,CAD,TILT HOLDINGS INC,TILT,CA88688R1047,TILT HOLDINGS INC,TILT,Canada,CAD
14938,AUD,TIMBERCORP LIMITED,TIM,AU000000TIM1,TIMBERCORP LIMITED,TIM,,AUD
14939,CAD,TIMBERCREEK FINANCIAL CORP,TF,CA88709B1040,TIMBERCREEK FINANCIAL CORP,TF,Canada,CAD
14940,USD,TIMBERLAND BANCORP INC,NMS,US8870981011,TIMBERLAND BANCORP INC,TSBK,United States of America,USD
14941,USD,TIMBERLINE RESOURCES CORP,TLRS,US8871332057,TIMBERLINE RESOURCES CORP,TLRS,United States of America,USD
14942,HKD,TIME INTERCONNECT TECHNOLOGY,1729,KYG8879R1048,TIME INTERCONNECT TECHNOLOGY,1729,Hong Kong,HKD
14943,INR,TIME TECHNOPLAST LIMITED,TIMETECHN,INE508G01029,TIME TECHNOPLAST LIMITED,TIMETECHN,India,INR
14944,USD,TIME WARNER INC,TWX,US8873173038,TIME WARNER INC,TWX,,
14945,HKD,TIMELESS SOFTWARE LIMITED,8028,HK8028008944,TIMELESS SOFTWARE LIMITED,8028,Hong Kong,HKD
14946,HKD,TIMES CHINA HOLDINGS LTD,1233,KYG8904A1004,TIMES CHINA HOLDINGS LTD,1233,Hong Kong,HKD
14947,INR,TIMES GUARANTY LTD,TIMESGTY,INE289C01025,TIMES GUARANTY LTD,TIMESGTY,India,INR
14948,INR,TIMKEN INDIA LIMITED,TIMKEN,INE325A01013,TIMKEN INDIA LIMITED,TIMKEN,India,INR
14949,USD,TIMKENSTEEL CORP,TMST,US8873991033,TIMKENSTEEL CORP,TMST,United States of America,USD
14950,USD,TINKA RESOURCES LIMITED,CURRENT,CA8875221001,TINKA RESOURCES LIMITED,TKRFF,United States of America,USD
14951,CAD,TINKERINE STUDIOS LTD,TTD,CA8875391044,TINKERINE STUDIOS LTD,TTD,Canada,CAD
14952,CAD,TINLEY BEVERAGE CO INC/THE,TNY,CA8875441047,TINLEY BEVERAGE CO INC/THE,TNY,Canada,CAD
14953,INR,TINPLATE CO OF INDIA LTD,TINPLATE,INE422C01014,TINPLATE CO OF INDIA LTD,TINPLATE,India,INR
14954,CAD,TINTINA MINES LTD,TTS,CA8876741098,TINTINA MINES LTD,TTS,Canada,CAD
14955,USD,TINTRI INC,NOINFO,US88770Q1058,TINTRI INC,TNTRQ,United States of America,USD
14956,AUD,TINYBEANS GROUP PTY LTD,TNY,AU000000TNY6,TINYBEANS GROUP PTY LTD,TNY,Australia,AUD
14957,CAD,TIO NETWORKS CORP,TNC,CA8876941078,TIO NETWORKS CORP,TNC,,CAD
14958,SGD,TIONG SENG HOLDINGS LTD,BFI,SG1BH4000005,TIONG SENG HOLDINGS LTD,BFI,Singapore,SGD
14959,INR,TIPS INDUSTRIES LTD,TIPSINDLT,INE716B01011,TIPS INDUSTRIES LTD,TIPSINDLT,India,INR
14960,USD,TIPTREE INC,SCM,US88822Q1031,TIPTREE INC,TIPT,United States of America,USD
14961,USD,TIRE INTERNATIONAL ENVIRONME,TRIE,US88822L1044,TIRE INTERNATIONAL ENVIRONME,TRIE,,USD
14962,GBP,TISSUE REGENIX GROUP PLC,ASQ1,GB00B5SGVL29,TISSUE REGENIX GROUP PLC,TRX,United Kingdom,GBP
14963,INR,TITAGARH WAGONS LTD,TWL,INE615H01020,TITAGARH WAGONS LTD,TWL,India,INR
14964,USD,TITAN INTERNATIONAL INC,TWI,US88830M1027,TITAN INTERNATIONAL INC,TWI,United States of America,USD
14965,CAD,TITAN LOGIX CORP,TLA,CA88831E1097,TITAN LOGIX CORP,TLA,Canada,CAD
14966,USD,TITAN MACHINERY INC,NMS,US88830R1014,TITAN MACHINERY INC,TITN,United States of America,USD
14967,USD,TITAN MEDICAL INC,SCM,CA88830X8199,TITAN MEDICAL INC,TMDI,United States of America,USD
14968,AUD,TITAN MINERALS LTD,TTM,AU000000TTM8,TITAN MINERALS LTD,TTM,Australia,AUD
14969,USD,TITAN MINING CORP,CURRENT,CA88831L1031,TITAN MINING CORP,TNMCF,United States of America,USD
14970,USD,TITAN PHARMACEUTICALS INC,SCM,US8883146065,TITAN PHARMACEUTICALS INC,TTNP,United States of America,USD
14971,USD,TITAN TECHNOLOGIES INC,TITT,US8883251071,TITAN TECHNOLOGIES INC,TITT,,USD
14972,USD,TITANIUM GROUP LTD,TTNUF,VGG889151145,TITANIUM GROUP LTD,TTNUF,United States of America,USD
