ticker,lag,intercept,intercept_pvalue,asset_lag_coefficient,asset_lag_coefficient_pvalue,asset_lag_hac_standard_error,lithium_lag1_coefficient,lithium_lag1_coefficient_pvalue,lithium_lag1_hac_standard_error
002176.SZ,1,-0.0021816047160296177,0.7842801423495358,0.14870831090817574,0.10550978581851997,0.09186843753358706,-0.11230355101551237,0.27776646172614305,0.10347215430792667
002176.SZ,2,-0.0025311062215841768,0.7542315773326029,0.13724356207730792,0.29386940663200234,0.13074912385434279,-0.1150514940430386,0.28444248811458506,0.1074852913239099
002176.SZ,3,-0.0019849935107018072,0.8071322120657756,0.13929868162829023,0.4363490623453722,0.17896131370735696,-0.1082247034114895,0.31217303267668395,0.10708183438686299
002176.SZ,4,-0.002517221650429869,0.755032656864104,0.2513120308917423,0.2063866795853776,0.19889146584148928,-0.10657786722833296,0.3245632031792348,0.10818726926196118
002460.SZ,1,-0.0024664612105402294,0.7614455836074757,0.15234070694514848,0.10820024481430601,0.09483742350337192,-0.11287421474445009,0.26941807459138645,0.10220376752548467
002460.SZ,2,-0.003227688908522792,0.6927172703236608,0.25419101306472586,0.054307392666944114,0.13209005463259826,-0.11757810245966918,0.2653135806723831,0.10555346902636234
002460.SZ,3,-0.0027708433037725733,0.7383234246344819,0.2719145011062585,0.127623486466632,0.17847537729702356,-0.11371099348974319,0.2861843711358145,0.10661777131319486
002460.SZ,4,-0.002978607480796932,0.7181240140023464,0.2446309046167498,0.2126310357095933,0.19627575510031373,-0.10710841260556697,0.3105916992199522,0.10563155146897572
002466.SZ,1,-0.00231779075931652,0.7731600091392379,0.1069483418923619,0.16319014786892183,0.07669724552148333,-0.11832875564275355,0.25404331687913706,0.10374406007297067
002466.SZ,2,-0.0031755032179740083,0.6926988690241912,0.23106945067819928,0.031430358819632104,0.10739518315815119,-0.12399583894038865,0.2437598965919554,0.1063757286345114
002466.SZ,3,-0.002647948311102889,0.7454173153450347,0.23380015956149713,0.14421499528730175,0.16010713213638078,-0.12006299127377706,0.2774685746282487,0.11055284353649873
002466.SZ,4,-0.003036594058813782,0.7056958949819366,0.252067287570309,0.1239318377248347,0.1638420073914575,-0.11282647732278371,0.2958546479311387,0.10793029906852053
002497.SZ,1,-0.002040425484210763,0.8001029065472577,0.10216105677300541,0.25714557448722375,0.09015561436412783,-0.11516966052629565,0.27142509481729893,0.10472000328956296
002497.SZ,2,-0.0024468597440774824,0.762844085397401,0.13010543563621502,0.4235220337171327,0.16256558092973525,-0.11384341043687521,0.2870538084850728,0.1069346809588591
002497.SZ,3,-0.0020316598750989116,0.8034174548204494,0.22466597877471806,0.3227358999490242,0.2271989513928572,-0.11118617556894547,0.3055925097616018,0.10852576308268233
002497.SZ,4,-0.0022149088814079326,0.7865306350765356,0.1462850555949722,0.541739614650295,0.23973906623862726,-0.10502557911584336,0.3311107022409252,0.10806444952396
AKE.AX,1,-0.0031126466076558676,0.6848267180485019,0.2788471436766922,0.005335572533078656,0.10008714951229328,-0.13135165640879148,0.147031320622787,0.09058125584931341
AKE.AX,2,-0.0038143226629460503,0.624898800062082,0.32878734220633515,0.005983199952840247,0.11961555026088658,-0.1452056208897331,0.127129894263098,0.09518445576498422
AKE.AX,3,-0.0031277053352766464,0.6883470789977808,0.2933186735689409,0.010441731670540622,0.11453970837992539,-0.12686409620823674,0.19284636457040738,0.09742253326907063
