ticker,lag,intercept,intercept_pvalue,lag_coefficient,lag_coefficient_pvalue,hac_standard_error
002176.SZ,1,-0.001885111133704884,0.794068023733416,0.14404885553725771,0.1243700099001716,0.09373988877890575
002176.SZ,2,-0.002216445827967997,0.7618920161529988,0.11672241073154396,0.32131764104485694,0.11769293051946929
002176.SZ,3,-0.0016480392456421568,0.8229857705816049,0.12250445480538824,0.4525783614759723,0.1630949667103594
002176.SZ,4,-0.0022495317511643568,0.7592834499163162,0.23541328402231684,0.19204438863535644,0.1804548428555768
002460.SZ,1,-0.0021459984872197473,0.770780069750565,0.14386673164763888,0.1140806182363658,0.09104828802676072
002460.SZ,2,-0.0028493444482262935,0.6977805912658848,0.22853600862057996,0.0553904553648443,0.11929006822271813
002460.SZ,3,-0.0023192394017977048,0.7555890687708072,0.2374776252855681,0.13021753369516462,0.15693274036241908
002460.SZ,4,-0.0026168689126427848,0.7261794333125333,0.2131833572469112,0.2215346018256792,0.17438915256388812
002466.SZ,1,-0.0019457325655770283,0.7882788753665808,0.08846994203642826,0.23656408287053532,0.07474531379924561
002466.SZ,2,-0.002763826966747624,0.7006468720215138,0.2012052174920581,0.0358869148417564,0.09589390999882437
002466.SZ,3,-0.0021464177393841614,0.7681300490314946,0.19131790769204307,0.1545629152934818,0.13439041521629475
002466.SZ,4,-0.0026457328191898137,0.7151966513562774,0.21702964390459326,0.12955506173660764,0.14317273142775935
002497.SZ,1,-0.001721850524687156,0.8134080792214948,0.0836101158880331,0.3264962172693976,0.08521247211416036
002497.SZ,2,-0.002134952364988928,0.7713955064485298,0.1010884227111525,0.48205002502011773,0.14379388601080612
002497.SZ,3,-0.001676951719095141,0.8202593982645687,0.19414525629736526,0.32444422511935134,0.19702853209439658
002497.SZ,4,-0.001929032273596853,0.7958686698252284,0.10978522619461556,0.5933881813723143,0.20561627188570994
AKE.AX,1,-0.0026990921877139327,0.6946424650772053,0.25967509107851655,0.01043626598430272,0.10139482853706071
AKE.AX,2,-0.0031983060128050384,0.642834365386429,0.26933531665189003,0.026665025663562485,0.12151999889990309
AKE.AX,3,-0.0025229983022086355,0.717327782022569,0.24023496528605856,0.03545536970518106,0.11422794757737877
AKE.AX,4,-0.003502568628872054,0.6085427888208657,0.3668367335006389,0.00973189082126887,0.14189807947493646
ALB,1,-0.001810497514205544,0.8028615269697696,0.07562289851383865,0.41130544159557325,0.09204361770418443
ALB,2,-0.002718344195997253,0.7075332181661129,0.24250523542513344,0.06577880097722852,0.1318014773312424
ALB,3,-0.001950881005186195,0.7917319971668617,0.1776404318375967,0.2853767486548696,0.16628036347567082
ALB,4,-0.0018867006944845392,0.8030904088257015,0.046799453134327144,0.8265562400249498,0.2135786885164404
ALL.L,1,-0.0015866669005749666,0.826957905780775,0.005028254352093739,0.9146099307391581,0.04689411731247575
ALL.L,2,-0.001999227203055803,0.7835407544217485,0.034862447259814015,0.6732485733611502,0.08267243226220591
ALL.L,3,-0.0014596040983535555,0.8397282721564934,0.11521224199385237,0.2854211306597707,0.10785437929388375
ALL.L,4,-0.0018555490242482577,0.7969276143386775,0.16279782094505058,0.17999974374211836,0.1214224232241646
AMLI,1,-0.0019965131557825697,0.783399152240472,0.05910324981783932,0.12113298953663765,0.038130254987460886
AMLI,2,-0.002314088358954127,0.7513295455050351,0.0540569683563341,0.30637051398039095,0.052848458055634644
AMLI,3,-0.0017546741694511145,0.8126690334376679,0.059796257569333586,0.2788831152119574,0.05522211387964229
AMLI,4,-0.0018506855757373319,0.8023416682866027,0.01915099028996718,0.7354174731971861,0.05667181261352622
CRE.V,1,-0.0017342153152482241,0.8107625945783443,0.1173030775965205,0.06121451892965151,0.06266381551396068
CRE.V,2,-0.0020715960517490003,0.7778352382027893,0.07051112498397226,0.4205373499214342,0.08753824619419177
CRE.V,3,-0.0013436615436391757,0.8549427273289845,-0.020321835679307076,0.8157636537317626,0.08721926254414152
CRE.V,4,-0.0017477559782241644,0.8126509305010383,0.014468840406779416,0.8966218067261773,0.11135873239873786
ERA.PA,1,-0.00132635244668942,0.8550506493594201,0.052739089851574036,0.4060757836950769,0.06347842091906687
ERA.PA,2,-0.0013834904780879787,0.8480822056929387,0.13232344080509634,0.13783165911476716,0.08917188903050995
ERA.PA,3,-0.0007081252932715163,0.9219150271621314,0.16295119705502836,0.10301382082338231,0.09994461476720327
ERA.PA,4,-0.0011297870442168027,0.8776857369953747,0.1526224712273463,0.14209957734340842,0.10396504983522217
INF.AX,1,-0.0015401041899752712,0.8316196450445549,0.06466007446792209,0.17308160490701352,0.04746151445451693
INF.AX,2,-0.0019420223127543344,0.7897819430612727,0.05245423676394555,0.3082592797224294,0.051482181611845625
INF.AX,3,-0.0013618390678259516,0.851763930174568,0.019032296470962766,0.8029766046900739,0.07628276286245443
INF.AX,4,-0.0016971481598949591,0.8164534868563136,0.07535629787555397,0.27782672587040325,0.06943909028643379
LAC,1,,,,,
LAC,2,,,,,
LAC,3,,,,,
LAC,4,,,,,
LEL.AX,1,0.006248221106827524,0.665779807109631,0.32557704056272097,0.0360315340729732,0.15529022384869787
LEL.AX,2,0.00591784345943725,0.6877415817457935,0.32229877715241306,0.10554651193657455,0.1991294607816768
LEL.AX,3,0.005843177916459077,0.6933534347202062,0.33853042376584147,0.06569761885951377,0.18393582069166303
LEL.AX,4,0.005836223349218471,0.6967359770804777,0.3851406836964584,0.07488523704927956,0.2162294543857436
LIS.V,1,-0.0008507515947137122,0.9062587223094205,0.09545530584524348,0.012272344512185812,0.038117856159083655
LIS.V,2,-0.0012867008066312366,0.8592829272687957,0.09184851465690173,0.09074813666968463,0.05430118025567159
LIS.V,3,-0.0005173051800348412,0.9434888144075633,0.11416550114899837,0.07262678651820606,0.06359596481943079
LIS.V,4,-0.0008031043097063278,0.9136075462762137,0.12252091214669926,0.09219204502185023,0.07275820571170202
LITH.V,1,-0.0015368114070627359,0.8322400660448388,0.04638958241520842,0.4454640176790515,0.06079901154326082
LITH.V,2,-0.001958745435650802,0.7889223615440235,0.010069634427852577,0.8901909164337315,0.07293526217180347
LITH.V,3,-0.0013552344334828493,0.8532232595954571,0.018955933540189054,0.825284421021302,0.08586925667594815
LITH.V,4,-0.001826483301037037,0.8045972336730886,-0.14173935026899315,0.21141607130286633,0.11342041781063285
LPI.AX,1,-0.001411308331536285,0.8432189170608286,0.19693506476058223,0.018597797536420005,0.08367766391641614
LPI.AX,2,-0.0018045771023793345,0.8023631812663268,0.13906724186369104,0.12596467061847547,0.09088112753943559
LPI.AX,3,-0.0012468174462605022,0.8627573084404481,0.1250085469957804,0.1794052415954095,0.09311009502362527
