DATE,url,tone,Close,lag_1_log_return,lag_7_log_return,lag_14_log_return,lag_1_label,lag_7_label,lag_14_label
2021-01-01 00:45:00,https://www.bestmag.co.uk/indnews/jci-queers-pitch-lead-future-lithium-sli-launch,1.5625,46500.0,0.0,0.010810916104215676,0.12588024588900273,HOLD,BUY,BUY
2021-01-01 04:15:00,https://www.carandbike.com/news/tesla-secures-long-term-lithium-hydroxide-supply-with-yahua-2346173,0.766283524904214,46500.0,0.0,0.010810916104215676,0.12588024588900273,HOLD,BUY,BUY
2021-01-05 00:15:00,https://investingnews.com/news/lithium-investing/bernhard-capital-partners-announces-luke-kissam-to-join-as-partner/,2.46262093227792,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-05 18:00:00,https://www.naija247news.com/2021/01/05/lithium-ion-electric-vehicle-battery-prices-plunge-89-in-ten-years/,0.506329113924051,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-05 19:30:00,https://www.gastongazette.com/story/news/2021/01/05/gaston-and-cleveland-future-u-s-lithium-mining-production/3945270001/,0.833333333333333,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-06 05:30:00,https://investingnews.com/daily/resource-investing/battery-metals-investing/lithium-investing/lithium-forecast/,-0.894854586129754,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-06 11:30:00,https://www.business-live.co.uk/enterprise/lithium-firm-given-permission-crown-19570796,4.11840411840412,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 12:15:00,https://www.prnewswire.com:443/news-releases/albemarle-announces-expansion-of-nevada-site-to-increase-domestic-production-of-lithium-301202569.html,2.73972602739726,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 12:45:00,https://leaderpost.com/pmn/business-pmn/albemarle-to-double-nevada-lithium-output-as-ev-demand-set-to-grow,1.31578947368421,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 13:15:00,https://www.marketwatch.com/press-release/albemarle-announces-expansion-of-nevada-site-to-increase-domestic-production-of-lithium-2021-01-07,2.53164556962025,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 14:00:00,https://www.smh.com.au/business/companies/pilbara-minerals-lifts-lithium-exports-as-electric-cars-take-off-20210107-p56sds.html,1.59010600706714,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 16:15:00,https://leaderpost.com/pmn/business-pmn/albemarle-to-boost-nevada-lithium-output-as-electric-vehicle-demand-climbs,0.45045045045045,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 16:45:00,https://uk.reuters.com/article/albemarle-nevada/update-3-albemarle-to-boost-nevada-lithium-output-as-electric-vehicle-demand-climbs-idUKL4N2JI2KS,0.581395348837209,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 18:30:00,https://www.watoday.com.au/business/companies/pilbara-minerals-lifts-lithium-exports-as-electric-cars-take-off-20210107-p56sds.html,1.6304347826087,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 18:45:00,https://www.reuters.com/article/us-chile-lithium-albemarle-exclusive-idUSKBN29C2NK,-0.185185185185185,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-07 19:00:00,https://cleantechnica.com/2021/01/07/cobalt-banished-from-new-lithium-ion-electric-vehicle-batteries/,0.933908045977011,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-08 00:00:00,https://www.fool.com/investing/2021/01/07/time-sensitive-why-blink-charging-lithium-americas/,0.652173913043478,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-08 00:15:00,https://www.fool.com/investing/2021/01/07/time-sensitive-why-blink-charging-lithium-americas/?source=iedfolrf0000001,0.416666666666666,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-08 03:15:00,https://www.marketscreener.com/quote/stock/VOLKSWAGEN-AG-436737/news/Volkswagen-Chile-threatens-legal-action-to-get-Albermarle-to-disclose-lithium-reserves-32142476/,-0.378071833648393,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-08 07:30:00,https://www.wionews.com/world/chile-threatens-legal-action-to-get-miner-company-to-disclose-lithium-reserves-355318,-0.277008310249307,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-08 20:45:00,https://www.prnewswire.com/news-releases/cpsc-issues-consumer-safety-warning-serious-injury-or-death-can-occur-if-lithium-ion-battery-cells-are-separated-from-battery-packs-and-used-to-power-devices-301203554.html,-5.85774058577406,46500.0,0.0,0.0,0.010810916104215676,HOLD,HOLD,BUY
2021-01-12 03:15:00,https://investingnews.com/news/lithium-investing/albemarle-announces-new-human-resources-leadership/,3.04568527918782,46500.0,0.0,0.0,0.0,HOLD,HOLD,HOLD
2021-01-12 03:15:00,https://investingnews.com/company-profiles/alpha-lithium-tsxv-alli/,1.83447098976109,46500.0,0.0,0.0,0.0,HOLD,HOLD,HOLD
